word,count
you,33
i,24
a,22
it,18
no,16
and,15
to,15
good,15
the,15
thanks,14
is,14
me,13
for,13
do,12
my,10
that,10
i'm,9
but,9
moose,9
where,7
up,7
on,7
then,6
that's,6
in,6
so,6
be,6
john,6
night,5
well,5
girl,5
what,5
not,5
yeah,5
wick,5
thank,5
know,5
please,5
hear,5
hey,4
through,4
this,4
yes,4
name,4
got,4
she,4
harry,4
they,4
viggo,4
have,4
as,4
out,4
right,4
marcus,4
car,4
iosef,4
about,4
like,4
with,4
been,4
man,3
make,3
perfect,3
evenin',3
killed,3
jimmy,3
send,3
still,3
see,3
ed,3
go,3
sorry,3
oh,3
much,3
or,3
i'll,3
i'd,3
if,3
of,3
don't,3
charlie,3
awhile,3
did,3
am,3
too,3
your,3
dog,3
how,2
seein',2
here,2
was,2
can,2
back,2
jenny,2
will,2
reservation,2
just,2
quite,2
lamech,2
played,2
that'll,2
would,2
place,2
shall,2
aurelio,2
at,2
maybe,2
mean,2
miko,2
ya',2
open,2
an,2
one,2
need,2
all,2
old,2
ahead,2
hello,2
call,2
gotta',2
come,2
tab,2
four,2
something,2
take,2
stash,2
soon,2
eye,2
fact,2
thought,2
has,2
start,1
peace,1
owe,1
speech,1
personal,1
time,1
page,1
owner,1
sure,1
piggy,1
worth,1
wounding,1
pinot,1
own,1
viktor,1
y'know,1
oughta',1
things,1
off,1
young,1
thinkin',1
you've,1
ok,1
ten,1
yet,1
tarasov,1
takin',1
one:,1
onions,1
years,1
table,1
o'clock,1
sorting,1
worry,1
plate,1
singin',1
sale,1
six,1
we,1
wasn't,1
single,1
wanna',1
same,1
unless,1
said,1
seem,1
seen,1
wait,1
seriously,1
sevenfold,1
voice;,1
seventy-sevenfold,1
we're,1
russian,1
took,1
rare,1
viggo's,1
pleased,1
tried,1
promises,1
put,1
wives,1
winston,1
release,1
what's,1
trivial,1
willin',1
try,1
two,1
why'd,1
when,1
runnin',1
sort,1
lot,1
nowadays,1
find,1
chip,1
claw,1
close,1
coin,1
cold,1
coming,1
complete,1
cops,1
could,1
dead,1
deep,1
depending,1
depends,1
devil,1
didn't,1
discretion,1
doc,1
doctor,1
doesn't,1
doing,1
dunno,1
earnin',1
eddie,1
even,1
evening,1
excellent,1
exodus,1
facelift,1
few,1
cheese,1
cater,1
catch,1
bank,1
adah,1
after,1
ain't,1
always,1
americano,1
anymore,1
anythin',1
anything,1
appreciated,1
are,1
aren't,1
avenged,1
babysittin',1
bathroom,1
cards,1
bear,1
because,1
bed,1
beer,1
better,1
bit,1
breathin',1
bullet,1
buried,1
business,1
cain,1
called,1
card,1
figured,1
flowers,1
norma,1
fries,1
kid,1
killin',1
knowin',1
knows,1
laundry,1
leave,1
less,1
let's,1
listen,1
lookin',1
love,1
loved,1
ma'am,1
malt,1
martini,1
may,1
meant,1
meat,1
meet,1
mid-range,1
mind,1
mob,1
more,1
movement,1
mustard,1
new,1
next,1
nice,1
nojust,1
keen,1
job,1
it's,1
had,1
from,1
fuck,1
fucking,1
genesis,1
get,1
give,1
glad,1
god,1
going,1
good's,1
goodbye,1
gotten,1
guest,1
hamburger,1
isn't,1
haven't,1
her,1
him,1
his,1
hobby,1
holdings,1
home,1
hours,1
huh,1
hurting,1
imagine,1
into,1
irish,1
zillah,1
