word,count
i,49
you,41
the,31
what,29
to,22
that,18
me,18
this,16
i'm,16
is,16
it,15
know,15
a,13
not,12
no,12
don't,12
do,12
it's,10
how,10
are,9
was,8
did,8
yeah,8
morpheus,8
but,8
shit,7
and,7
you're,7
have,6
my,6
fuck,6
get,6
why,6
who,6
want,6
believe,6
trinity,6
can,5
in,5
right,5
all,5
doing,5
he,5
out,5
of,5
go,5
just,4
one,4
real,4
way,4
if,4
going,4
here,4
told,4
matrix,4
yes,3
hello,3
got,3
had,3
help,3
with,3
happened,3
she,3
what's,3
life,3
like,3
little,3
about,3
thought,3
think,3
they,3
there,3
then,3
oracle,3
that's,3
up,3
make,3
can't,3
am,3
an,3
die,3
anything,3
nobody,2
so,2
better,2
program,2
power,2
possible,2
call,2
oh,2
now,2
nothing,2
mr,2
news,2
sorry,2
might,2
maybe,2
coming,2
mainframe,2
computer,2
let,2
learn,2
insane,2
some,2
still,2
spoon,2
uses,2
your,2
agents,2
wouldn't,2
work,2
won't,2
went,2
wasn't,2
any,2
vu,2
trying,2
dead,2
too,2
as,2
time,2
away,2
thing,2
be,2
because,2
tank,2
sure,2
i've,2
zion,2
he's,2
gift,2
free,2
for,2
fast,2
deja,2
from,2
didn't,2
hell,2
him,2
feel,2
good,2
fuckin',2
holy,2
things,1
been,1
thanks,1
apparatus;,1
generate,1
best,1
believed,1
gestapo,1
fate,1
them,1
bad,1
back,1
gloves,1
give,1
thinks,1
bald,1
they're,1
than,1
talking,1
tell,1
glucose,1
self-destruct,1
sentient,1
serious,1
service,1
black,1
guy,1
shitshitshit,1
should,1
gotcha,1
software,1
eyes,1
something,1
sorewhere,1
sounds,1
sphincter,1
far,1
stand,1
god,1
stop,1
such,1
supply,1
system,1
systems,1
talk,1
tonight,1
tomorrow,1
horsemen,1
gee-zus,1
world,1
who's,1
whoa,1
already,1
alive,1
wizard,1
fly,1
wondering,1
first,1
working,1
works,1
would,1
when,1
fired,1
wow,1
wrote,1
ain't,1
finger,1
yet,1
again,1
access,1
you've,1
fine,1
always,1
whatever,1
touch,1
fu,1
traceless,1
apoc,1
true,1
seen,1
truth,1
try,1
uh,1
uh-oh,1
understand,1
us,1
vase,1
forget,1
virus,1
wait,1
friend,1
wanted,1
anthony,1
another,1
we,1
we're,1
four,1
were,1
self,1
say,1
see,1
killed,1
core,1
kung,1
late,1
legend,1
hi,1
let's,1
levels,1
control,1
commandeer,1
looked,1
lot,1
magic,1
main,1
man,1
cold,1
matters,1
may,1
headgear,1
codes,1
mean,1
meet,1
mescaline,1
mind,1
kiss,1
kansas,1
monitor,1
could,1
hurry,1
hurt,1
deal,1
i'll,1
honor,1
idea,1
idiots,1
d-base,1
image,1
important,1
crazy,1
incredible,1
his,1
inside,1
irs,1
crap,1
isn't,1
cram,1
cracked,1
jeez,1
jesus,1
jiujitsu,1
jujitsu,1
money,1
more,1
secret,1
outta,1
past,1
perfectly,1
phone,1
place,1
even,1
hacking,1
problem,1
hackers,1
programs,1
proud,1
pursuit,1
both,1
remaining,1
residual,1
rhineheart,1
board,1
rights,1
rules,1
run,1
said,1
saw,1
decided,1
scare,1
over,1
built,1
clear,1
essentially,1
most,1
he'd,1
much,1
city,1
name,1
ne,1
need,1
neo,1
dokie,1
next,1
nice,1
changes,1
emp,1
catch,1
note,1
hardwired,1
hardware,1
cat,1
happening,1
okay,1
okie,1
on,1
file,1
few,1
